2.25,3.2,3.6,Independiente Medellin,Junior Barranquilla,2023-07-22
2.45,3.0,3.3,Jaguares de Cordoba,Boyaca Chico,2023-07-22
2.35,3.0,3.65,Jaguares de Cordoba,Boyaca Chico,2023-07-24
2.1,3.25,3.25,Deportes Tolima,Rionegro Aguilas Doradas,2023-07-24
2.9,3.3,2.25,Alianza Petrolera,Millonarios FC,2023-07-24
2.0,3.3,3.45,Boyaca Chico,La Equidad Seguros,2023-07-24
2.1,3.15,4.1,Deportes Tolima,Rionegro Aguilas Doradas,2023-07-27
3.05,3.15,2.55,Alianza Petrolera,Millonarios FC,2023-07-27
2.2,3.1,3.8,Boyaca Chico,La Equidad Seguros,2023-07-27
1.9,3.5,4.5,Independiente Santa Fe,Independiente Medellin,2023-08-01
2.55,3.05,2.8,Atletico Huila,Alianza Petrolera,2023-08-01
1.82,3.45,4.9,Alianza Petrolera,Envigado FC,2023-08-09
1.8,3.5,4.8,Rionegro Aguilas Doradas,Deportivo Cali,2023-08-09
1.65,3.75,5.75,Deportes Tolima,Atletico Huila,2023-08-09
3.3,3.1,2.45,Envigado FC,Junior Barranquilla,2023-08-26
2.6,3.2,2.95,Union Magdalena,Alianza Petrolera,2023-08-26
2.2,3.15,3.8,La Equidad Seguros,Deportes Tolima,2023-08-26
1.85,3.45,4.9,Boyaca Chico,Envigado FC,2023-09-01
1.69,3.9,5.35,Deportes Tolima,Atletico Bucaramanga,2023-09-01
2.25,3.1,3.65,Union Magdalena,Deportivo Cali,2023-09-26
1.75,3.55,5.46,Deportivo Pasto,Atletico Huila,2023-09-26
3.5,3.2,2.2,Jaguares de Cordoba,Junior Barranquilla,2023-09-26
1.65,3.7,5.5,Deportes Tolima,Boyaca Chico,2023-09-26
3.4,3.15,2.35,Jaguares de Cordoba,Junior Barranquilla,2023-09-28
1.63,3.8,6.3,Deportes Tolima,Boyaca Chico,2023-09-28
3.95,3.15,2.15,Jaguares de Cordoba,Junior Barranquilla,2023-09-29
1.54,3.9,7.7,Deportes Tolima,Boyaca Chico,2023-09-29
2.9,3.1,2.72,Atletico Bucaramanga,Independiente Santa Fe,2023-09-29
1.43,4.55,8.3,Atletico Nacional S.A,Envigado FC,2023-09-29
1.8,3.55,4.9,Rionegro Aguilas Doradas,Deportivo Pasto,2023-09-29
2.6,3.15,2.9,Deportivo Pereira,America de Cali,2023-09-29
3.8,3.1,2.15,Jaguares de Cordoba,Deportes Tolima,2023-10-03
1.8,3.5,4.85,Junior Barranquilla,Deportivo Cali,2023-10-03
3.85,3.1,2.2,Jaguares de Cordoba,Deportes Tolima,2023-10-06
1.72,3.65,5.5,Junior Barranquilla,Deportivo Cali,2023-10-06
2.95,3.05,2.7,Envigado FC,Deportivo Pereira,2023-10-06
3.3,3.3,2.3,Union Magdalena,Atletico Nacional S.A,2023-10-06
1.98,3.55,3.95,Independiente Santa Fe,Rionegro Aguilas Doradas,2023-10-06
2.85,3.1,2.75,Independiente Santa Fe,Millonarios FC,2023-10-21
1.95,3.45,4.3,Union Magdalena,Atletico Bucaramanga,2023-10-21
1.65,3.75,6.15,Junior Barranquilla,Once Caldas Manizales,2023-10-21
1.45,4.65,7.6,Rionegro Aguilas Doradas,Envigado FC,2023-10-24
1.46,4.3,8.4,Deportivo Cali,Jaguares de Cordoba,2023-10-24
2.63,3.05,3.0,Atletico Bucaramanga,La Equidad Seguros,2023-10-24
3.26,3.15,2.4,Deportivo Pereira,Junior Barranquilla,2023-10-24
1.55,4.05,6.75,Millonarios FC,Boyaca Chico,2023-10-24
1.77,3.70,5.00,America de Cali,Millonarios FC,30 de octubre 
